Id,SalePrice
1461,107130.5225
1462,155839.5219
1463,171923.7544
1464,190414.3228
1465,232137.5879
1466,177833.7733
1467,190777.42
1468,167952.3508
1469,189723.0599
1470,118914.3856
1471,176790.8658
1472,93471.23367
1473,80591.02587
1474,142086.9217
1475,98368.89085
1476,371337.8743
1477,269519.0599
1478,301017.3835
1479,297642.8283
1480,426917.7372
1481,317459.3731
1482,236731.6224
1483,170186.4695
1484,159892.5766
1485,188272.8652
1486,195099.0965
1487,319783.3137
1488,244588.2693
1489,198781.5864
1490,230929.4547
1491,194432.8954
1492,96747.57715
1493,212472.7872
1494,321871.8065
1495,317243.72
1496,228874.0037
1497,178657.9368
1498,163990.5204
1499,175651.5162
1500,165409.6597
1501,181646.8629
1502,149750.5152
1503,259961.3303
1504,252132.0077
1505,234720.2838
1506,190893.6099
1507,228472.6495
1508,199209.7474
1509,147493.2241
1510,148186.1227
1511,152427.2782
1512,172572.2823
1513,160318.2871
1514,156973.7559
1515,212036.3797
1516,162547.4452
1517,156502.3505
1518,125292.5622
1519,210988.6758
1520,129671.1584
1521,123169.2773
1522,178961.7398
1523,93647.37356
1524,123086.9732
1525,105478.5947
1526,81543.98629
1527,101509.7972
1528,150673.8046
1529,134370.3414
1530,203000.7471
1531,140568.4827
1532,108990.988
1533,161918.9529
1534,127239.7205
1535,140613.5398
1536,95251.49022
1537,42947.17823
1538,164564.8256
1539,213852.6865
1540,95361.28533
1541,139769.7692
1542,142583.1932
1543,189206.2203
1544,96056.31048
1545,135933.908
1546,150435.7706
1547,141636.3223
1548,145763.5406
1549,126154.7289
1550,140304.1233
1551,121395.5622
1552,138534.2364
1553,134242.9519
1554,122874.229
1555,176106.2734
1556,92826.93819
1557,82796.21792
1558,92015.21342
1559,41433.2801
1560,124390.0655
1561,137775.1774
1562,123670.4452
1563,119842.9443
1564,144649.8815
1565,139404.6933
1566,233119.8375
1567,69047.15801
1568,231416.8205
1569,110837.1721
1570,133314.6202
1571,112456.7567
1572,131896.7724
1573,211324.4254
1574,128781.1214
1575,203215.9015
1576,249787.1741
1577,186879.3278
1578,156064.6378
1579,135238.5154
1580,206152.0327
1581,147591.5792
1582,136173.9425
1583,282500.2534
1584,223453.3787
1585,137601.8412
1586,55540.05875
1587,95024.20205
1588,142727.489
1589,89750.32248
1590,120439.9503
1591,70095.4989
1592,120506.3904
1593,129047.7952
1594,146301.2986
1595,107595.2335
1596,219887.0399
1597,191421.0363
1598,217289.8589
1599,161341.8316
1600,155407.5955
1601,49128.1666
1602,101668.3023
1603,78121.17111
1604,244641.3956
1605,242215.9852
